role,layer,n_seed_pairs,raw_distribution_similarity_mean,aligned_distribution_similarity_mean,random_distribution_similarity_mean,raw_top_head_match_rate,aligned_top_head_match_rate
bos,0,36,0.8476263184161036,0.8712596534774414,0.8493045990450248,0.1388888888888889,0.2222222222222222
bos,1,36,0.8071833197660754,0.8678540292157361,0.8141764922800194,0.08333333333333333,0.1111111111111111
bos,2,36,0.8680231051214105,0.8742871240090299,0.8656498441610652,0.05555555555555555,0.08333333333333333
bos,3,36,0.8093471438793665,0.8315134960836497,0.8032813998502192,0.08333333333333333,0.1111111111111111
bos,4,36,0.8437085067941275,0.8638828442091522,0.8424944594290766,0.05555555555555555,0.1388888888888889
bos,5,36,0.8664877654725873,0.887986704319248,0.8651889142505488,0.05555555555555555,0.16666666666666666
bos,6,36,0.8658839670087263,0.8724532605324934,0.8615029611560923,0.05555555555555555,0.08333333333333333
bos,7,36,0.8565548043151968,0.8619331763833686,0.8547450113293791,0.05555555555555555,0.05555555555555555
bos,8,36,0.8141373706658741,0.8388987503966333,0.8114260332242709,0.1388888888888889,0.2222222222222222
bos,9,36,0.8401957992270218,0.8762258979716487,0.834070057464275,0.1111111111111111,0.1111111111111111
bos,10,36,0.8212263641219351,0.8639954263515732,0.8263605100434224,0.027777777777777776,0.16666666666666666
bos,11,36,0.7405524781532127,0.768925376699002,0.743598997919179,0.08333333333333333,0.08333333333333333
previous_token,0,36,0.7832650341884864,0.851056772944188,0.7677729452190948,0.16666666666666666,0.3333333333333333
previous_token,1,36,0.7164725659265401,0.871134765476514,0.7299597944065677,0.027777777777777776,0.3888888888888889
previous_token,2,36,0.7850973427633181,0.8408576270462419,0.7863746074889318,0.08333333333333333,0.3333333333333333
previous_token,3,36,0.7107140595556483,0.7898257804721006,0.7065402085046188,0.1111111111111111,0.4166666666666667
previous_token,4,36,0.7471339293098486,0.7823582144597577,0.7438057455915478,0.25,0.16666666666666666
previous_token,5,36,0.8059661970901402,0.8262651944360889,0.8003747861763095,0.16666666666666666,0.19444444444444445
previous_token,6,36,0.7823700425218889,0.7952435404853031,0.7824360810642783,0.1111111111111111,0.1111111111111111
previous_token,7,36,0.7785390193315919,0.795714138731463,0.7723993471376301,0.16666666666666666,0.2222222222222222
previous_token,8,36,0.7024010877676886,0.7955962290241003,0.7148357354975134,0.05555555555555555,0.5
previous_token,9,36,0.7601124199838812,0.8054420299379742,0.7533502230683413,0.1388888888888889,0.3611111111111111
previous_token,10,36,0.7156648177881277,0.7861939657004379,0.7262424595837704,0.027777777777777776,0.19444444444444445
previous_token,11,36,0.7491809525585835,0.8000726243130708,0.7526669798853415,0.08333333333333333,0.16666666666666666
repeat_match,0,36,0.30469937532507707,0.5345523994686698,0.18631371865089835,0.25,0.5555555555555556
repeat_match,1,36,0.15188807895172604,0.6883499312713544,0.15409671705242417,0.08333333333333333,0.7777777777777778
repeat_match,2,36,0.32284879091756946,0.482947377002361,0.32566764958124544,0.08333333333333333,0.3888888888888889
repeat_match,3,36,0.290849194307883,0.44321352438357237,0.2809141450732574,0.1111111111111111,0.3055555555555556
repeat_match,4,36,0.40409521064343823,0.4305640268843997,0.4083267353304902,0.05555555555555555,0.027777777777777776
repeat_match,5,36,0.47141349363532176,0.5102302775717532,0.47593628997718906,0.1111111111111111,0.19444444444444445
repeat_match,6,36,0.4623546489070718,0.5009041932213626,0.46052038434013337,0.1111111111111111,0.08333333333333333
repeat_match,7,36,0.7209449387079634,0.7234739828594773,0.7134685417799469,0.1111111111111111,0.1388888888888889
repeat_match,8,36,0.8020379687342383,0.8118969989375207,0.7942570633189923,0.1111111111111111,0.1388888888888889
repeat_match,9,36,0.8342068054116061,0.8408073823126223,0.8326543417298499,0.027777777777777776,0.1111111111111111
repeat_match,10,36,0.7527922572586224,0.7641298978243936,0.7637523322285187,0.05555555555555555,0.0
repeat_match,11,36,0.6640372418909138,0.6981537266888411,0.6720464450188726,0.1111111111111111,0.08333333333333333
