role,layer,n_seeds,max_specialization_mean,effective_heads_mean,top_score_mean
bos,0,9,0.12061116311556683,11.594556887906773,0.03892284714513355
bos,1,9,0.1278913391205268,11.350827153057498,0.03554170268277327
bos,2,9,0.11643176515471712,11.639191800623596,0.040439980725447335
bos,3,9,0.1328199812403198,11.223727951632283,0.0944212062491311
bos,4,9,0.11531976600609234,11.392852565401038,0.13243364046017328
bos,5,9,0.10785939840549912,11.535201751502768,0.17005984485149384
bos,6,9,0.11029656353607512,11.583102846279111,0.1672974940803316
bos,7,9,0.10962678314636366,11.562793755164305,0.16735628247261047
bos,8,9,0.11561005097413707,11.150027290289385,0.17201733589172363
bos,9,9,0.10920496148082046,11.412922273362746,0.17679409020476872
bos,10,9,0.11190184963315544,11.291217221565656,0.1883639113770591
bos,11,9,0.12999236756848745,10.598940102133652,0.16373222238487667
previous_token,0,9,0.15209960480574508,11.033010038046095,0.08355103681484859
previous_token,1,9,0.17294940467094774,10.701180157392727,0.1069059239493476
previous_token,2,9,0.17559543146941195,11.099719014481183,0.10347149521112442
previous_token,3,9,0.2214762891566916,10.308205170050634,0.12910643509692615
previous_token,4,9,0.192451657692269,10.682266476568017,0.09580344417028958
previous_token,5,9,0.15479103435857844,11.173275833967953,0.04811102213958899
previous_token,6,9,0.1772882024819093,11.002688606433688,0.06066692786084281
previous_token,7,9,0.19564643591914613,10.87763434851866,0.06942473476131757
previous_token,8,9,0.21676347955828648,10.347495201064,0.07537702553802067
previous_token,9,9,0.19129569104134134,10.79113178486623,0.05966208999355634
previous_token,10,9,0.20315864151152624,10.569671248389323,0.0696124020549986
previous_token,11,9,0.16382787196146817,10.930397996616518,0.08118447330262926
repeat_match,0,9,0.7727708055169807,2.843343187574171,0.6048339294890562
repeat_match,1,9,0.8044500302606914,2.2620193964515476,0.5627601577175988
repeat_match,2,9,0.45876267268089665,5.634492075297218,0.2051114377876123
repeat_match,3,9,0.5668598476373667,4.611221063274046,0.2645123965210385
repeat_match,4,9,0.3713554440202608,6.975070885921509,0.21128933814664683
repeat_match,5,9,0.3316917990851885,7.993149884656917,0.2445293159948455
repeat_match,6,9,0.4181869681115684,7.356908732191566,0.2312074431942569
repeat_match,7,9,0.19488331781320564,10.357581848146415,0.055604383556379214
repeat_match,8,9,0.12994131886769808,11.062571745702265,0.030102902195519872
repeat_match,9,9,0.12052880487774889,11.342674942444148,0.028601025541623432
repeat_match,10,9,0.14747768967080982,10.833617857732287,0.02813166690369447
repeat_match,11,9,0.15593723379784777,9.964000124533227,0.027224582723445363
