config,seed,branch,branch_head_dims_json,local_loss_delta,induction_loss_delta,local_specialization,induction_specialization
branch_sum,1,0,[64],0.1840968814212829,0.8031823670680751,0.4639806598793744,0.4638133727305488
branch_sum,1,1,[64],0.2126801770646125,0.9285106247480144,0.5360193401206256,0.5361866272694512
branch_sum,2,0,[64],0.113842233120522,0.7746983663382707,0.4407770345220896,0.5457238274463149
branch_sum,2,1,[64],0.14443400226446101,0.644881148749846,0.5592229654779104,0.4542761725536852
branch_sum,3,0,[64],0.1426521067187423,1.0808623014381737,0.6838512332954267,0.6862585090830385
branch_sum,3,1,[64],0.06594897458853666,0.494145202486834,0.3161487667045733,0.3137414909169615
branch_sum,4,0,[64],0.23365754156111507,1.0208892097871285,0.5421984792838921,0.557605391072419
branch_sum,4,1,[64],0.19728712259529857,0.8099560907285195,0.4578015207161079,0.4423946089275809
branch_sum,5,0,[64],0.2558759249441209,1.089398313255515,0.5429105519431886,0.4604912300181935
branch_sum,5,1,[64],0.2154280937902513,1.276332545967307,0.4570894480568114,0.5395087699818065
oracle_route,1,0,[64],6.180326324993075,0.0,1.0,0.0
oracle_route,1,1,[64],0.0,6.295298337645363,0.0,1.0
oracle_route,2,0,[64],5.918406242362835,0.0,1.0,0.0
oracle_route,2,1,[64],0.0,6.154277256457135,0.0,1.0
oracle_route,3,0,[64],5.9619873177143745,0.0,1.0,0.0
oracle_route,3,1,[64],0.0,6.1489259174559265,0.0,1.0
oracle_route,4,0,[64],6.064764033879328,0.0,1.0,0.0
oracle_route,4,1,[64],0.0,6.166368693753611,0.0,1.0
oracle_route,5,0,[64],5.9266385846276535,0.0,1.0,0.0
oracle_route,5,1,[64],0.0,6.135411004303023,0.0,1.0
