condition,router_supervision_weight,n_models,local_accuracy_mean,induction_accuracy_mean,same_top_branch_rate,routed_role_match_rate,branch_distribution_distance_mean,gate_routed_role_match_rate,gate_distribution_distance_mean,local_gate_entropy_mean,induction_gate_entropy_mean,induction_gate_branch1_mean,gate_target_nll_mean,local_branch0_loss_delta_mean,local_branch1_loss_delta_mean,induction_branch0_loss_delta_mean,induction_branch1_loss_delta_mean,local_top_branch_counts_json,induction_top_branch_counts_json
learned_token_router,0.0,5,1.0,0.9988802343606948,1.0,0.0,0.0006202793037135921,0.0,0.1044574874220416,0.1592981182038784,0.3340255208313465,0.5517473094165325,nan,2.2220942498912337,2.776672272856376,2.330652852007188,3.250644678424578,"{""0"": 2, ""1"": 3}","{""0"": 2, ""1"": 3}"
weak_token_router,0.005,5,0.999951171875,0.99781254529953,0.6,0.4,0.27893076281912593,0.4,0.40317675154656174,0.2608205109834671,0.5586202338337898,0.49067148715257647,0.46185248270630835,3.8119346683728508,0.034732835170143514,3.424702207290102,1.4093877303763294,"{""0"": 5}","{""0"": 3, ""1"": 2}"
weak_token_router,0.01,5,0.9998046875,0.9987239867448807,0.8,0.2,0.20498990515855214,0.4,0.5285807396518066,0.11075664795935154,0.5912647441029548,0.5537522807717323,0.3397413451224566,5.300376215204596,4.222402203595266e-05,3.278134280978702,1.0972670278744772,"{""0"": 5}","{""0"": 4, ""1"": 1}"
weak_token_router,0.02,5,0.9994140625,0.9985156625509262,0.8,0.2,0.2843646063505063,1.0,0.6578861357178539,0.07545244470238685,0.5405538618564606,0.6727982670068741,0.2251683471724391,5.500113434463128,6.032762976246886e-05,3.19276442124974,1.231072717742063,"{""0"": 5}","{""0"": 4, ""1"": 1}"
weak_token_router,0.03,5,0.99990234375,0.9994010716676712,0.6,0.4,0.3909596727659116,1.0,0.7692577787340269,0.053055013762786984,0.4127583608031273,0.7797671973705291,0.14819095307029784,5.495755881732475,5.1534370868466794e-06,2.606945252302103,2.2847502047603485,"{""0"": 5}","{""0"": 3, ""1"": 2}"
weak_token_router,0.04,5,1.0,0.9983073234558105,0.6,0.4,0.45039070540354553,1.0,0.7960951100947569,0.04891007556580007,0.3873664867132902,0.8056102216243743,0.12686124357860534,5.515317036292254,2.2098312911111863e-06,1.4866601829766295,2.3736715529463255,"{""0"": 5}","{""0"": 3, ""1"": 2}"
weak_token_router,0.045,5,0.999853515625,0.9984635829925537,0.2,0.8,0.7459324151099015,1.0,0.8448676167288796,0.03303146064281463,0.31799938846379516,0.8509077429771423,0.09505567522719502,5.584355141564447,1.3356635463424028e-06,0.5942948673153297,3.1510503802332095,"{""0"": 5}","{""0"": 1, ""1"": 4}"
weak_token_router,0.05,5,0.999755859375,0.9983333796262741,0.0,1.0,0.8956862470461969,1.0,0.9049281624989817,0.012473694141954183,0.19442371055483817,0.9068061709403992,0.06340163119602948,5.679273508140613,2.7611975383479146e-06,0.5183824822946917,4.844406568392879,"{""0"": 5}","{""1"": 5}"
oracle_route,nan,5,0.999951171875,0.9987500339746476,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,nan,5.819821620849325,0.0,0.0,6.163942740985658,"{""0"": 5}","{""1"": 5}"
