condition,source,config,task_variant,branch_head_dim,supervision_weight,entropy_weight,balance_weight,n_models,local_top_branch_counts_json,induction_top_branch_counts_json,local_accuracy_mean,induction_accuracy_mean,same_top_branch_mean,routed_role_match_mean,branch_distribution_distance_mean,gate_routed_role_match_mean,gate_distribution_distance_mean,local_gate_entropy_mean,induction_gate_entropy_mean,global_gate_entropy_mean,global_gate_branch0_mean,global_gate_branch1_mean,global_gate_balance_error_mean,local_gate_branch0_mean,local_gate_branch1_mean,induction_gate_branch0_mean,induction_gate_branch1_mean,local_branch0_loss_delta_mean,local_branch1_loss_delta_mean,induction_branch0_loss_delta_mean,induction_branch1_loss_delta_mean,eval_loss_mean,local_loss_mean,induction_loss_mean
standard_wide64_unconstrained,standard_wide64_reference,unconstrained_learned_token,standard,64,nan,0.0,0.0,5,"{""0"": 2, ""1"": 3}","{""0"": 2, ""1"": 3}",1.0,0.9988802343606948,1.0,0.0,0.0006202793037135921,0.0,0.1044574874220416,0.1592981182038784,0.3340255208313465,nan,nan,nan,nan,0.4862009490840137,0.513799064932391,0.4482527498155832,0.5517473094165325,2.2220942498912337,2.776672272856376,2.330652852007188,3.250644678424578,,,
standard_wide64_entropy_0.05_balance_1.0,standard_wide64_reference,entropy_0.05_balance_1.0,standard,64,nan,0.05,1.0,5,"{""0"": 4, ""1"": 1}","{""0"": 2, ""1"": 3}",0.999951171875,0.9993229538202286,0.6,0.4,0.3081871595066121,0.4,0.26666816021283535,0.05753321523346635,0.3346364051103592,0.28299076594412326,0.500115217268467,0.49988479614257814,0.003775136172771454,0.7850013734846695,0.2149986387163006,0.5453446201980114,0.45465543661266566,3.9308504195403655,1.0936841841670684,2.4923710622504585,1.8385255746688927,,,
standard_wide64_weak_label_0.05,standard_wide64_reference,weak_label_0.05,standard,64,nan,nan,nan,5,"{""0"": 5}","{""1"": 5}",0.999755859375,0.9983333796262741,0.0,1.0,0.8956862470461969,1.0,0.9049281624989817,0.012473694141954183,0.19442371055483817,nan,nan,nan,nan,0.9981220364570618,0.00187799294362776,0.09319388945586979,0.9068061709403992,5.679273508140613,2.7611975383479146e-06,0.5183824822946917,4.844406568392879,,,
standard_wide64_oracle_route,standard_wide64_reference,oracle_route,standard,64,nan,nan,nan,5,"{""0"": 5}","{""1"": 5}",0.999951171875,0.9987500339746476,0.0,1.0,1.0,1.0,1.0,0.0,0.0,nan,nan,nan,nan,1.0,0.0,0.0,1.0,5.819821620849325,0.0,0.0,6.163942740985658,,,
conflict_wide64_unconstrained,conflict_wide64,learned_token_router,bidirectional_lookup,64,0.0,0.0,0.0,5,"{""0"": 3, ""1"": 2}","{""0"": 3, ""1"": 2}",0.99921875,0.999951171875,1.0,0.0,0.023714101746171036,0.0,0.006762298196554184,0.6899834185838699,0.6893756926059723,0.6892919272184372,0.5133058518171311,0.4866941899061203,0.046149158477783205,0.507587093114853,0.4924129158258438,0.5135264456272125,0.4864735648036003,0.24880756737402407,0.19658448101690737,0.23006826360506238,0.162482420176093,0.0016422527813119813,0.0025220118302968332,0.0007624937148648314
conflict_wide64_balance_only_1.0,conflict_wide64,learned_token_router,bidirectional_lookup,64,0.0,0.0,1.0,5,"{""0"": 4, ""1"": 1}","{""0"": 4, ""1"": 1}",0.99912109375,0.9994140625,1.0,0.0,0.028332142055221627,0.0,0.003219573199748993,0.690699303150177,0.6906487435102463,0.6903343856334686,0.4994364082813263,0.5005636364221573,0.0019967645406723023,0.5036724925041198,0.49632751792669294,0.5016347348690033,0.4983652696013451,0.2437372924585361,0.21503707150113768,0.2331063818812254,0.1857291352629545,0.0034829099793569187,0.004420532117364928,0.002545287770044524
conflict_wide64_entropy_0.05_balance_1.0,conflict_wide64,learned_token_router,bidirectional_lookup,64,0.0,0.05,1.0,5,"{""0"": 2, ""1"": 3}","{""0"": 2, ""1"": 3}",0.99970703125,0.9998046875,1.0,0.0,0.20694246257390914,0.0,0.1275361504405737,0.5290477275848389,0.5518820822238922,0.31602993309497834,0.5004668936133385,0.4995331510901451,0.01240365207195282,0.37931927517056463,0.620680733025074,0.45581640750169755,0.5441835999488831,0.22884116491186432,0.6154840534727555,0.3701167229533894,0.60601676068909,0.0018634806474437937,0.002364581247093156,0.001362380015780218
conflict_wide64_weak_label_0.05,conflict_wide64,weak_token_router,bidirectional_lookup,64,0.05,0.0,0.0,5,"{""0"": 5}","{""1"": 5}",0.9986328125,0.999658203125,0.0,1.0,0.9772936371444562,1.0,0.7497467497363687,0.4058150827884674,0.3290635958313942,0.5093245789408684,0.3937668189406395,0.6062332361936569,0.21246641725301743,0.8549167722463608,0.14508325159549712,0.10517001561820508,0.8948299944400787,1.4529382513894233,0.027259538049111142,0.006225307617569342,2.7638061011966784,0.004274030955275521,0.005199374066432938,0.00334868777426891
conflict_wide64_oracle_route,conflict_wide64,oracle_route,bidirectional_lookup,64,nan,nan,nan,5,"{""0"": 5}","{""1"": 5}",0.999365234375,0.999462890625,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.47568926215171814,0.5,0.5,0.0,1.0,0.0,0.0,1.0,6.009568360142294,0.0,0.0,6.021806483139517,0.0033024274278432133,0.0032922956423135476,0.0033125592570286246
