condition,source,config,task_variant,branch_head_dim,supervision_weight,entropy_weight,balance_weight,n_models,local_top_branch_counts_json,induction_top_branch_counts_json,eval_loss_mean,local_loss_mean,induction_loss_mean,local_accuracy_mean,induction_accuracy_mean,same_top_branch_mean,routed_role_match_mean,branch_distribution_distance_mean,gate_routed_role_match_mean,gate_distribution_distance_mean,local_gate_entropy_mean,induction_gate_entropy_mean,global_gate_entropy_mean,global_gate_branch0_mean,global_gate_branch1_mean,global_gate_balance_error_mean,local_gate_branch0_mean,local_gate_branch1_mean,induction_gate_branch0_mean,induction_gate_branch1_mean,local_branch0_loss_delta_mean,local_branch1_loss_delta_mean,induction_branch0_loss_delta_mean,induction_branch1_loss_delta_mean,supervision_end_step,supervision_fraction
unlabeled_entropy_0.05_balance_1.0,conflict_reference,learned_token_router,bidirectional_lookup,64,0.0,0.05,1.0,5,"{""0"": 2, ""1"": 3}","{""0"": 2, ""1"": 3}",0.0018634806474437937,0.002364581247093156,0.001362380015780218,0.99970703125,0.9998046875,1.0,0.0,0.20694246257390914,0.0,0.1275361504405737,0.5290477275848389,0.5518820822238922,0.31602993309497834,0.5004668936133385,0.4995331510901451,0.01240365207195282,0.37931927517056463,0.620680733025074,0.45581640750169755,0.5441835999488831,0.22884116491186432,0.6154840534727555,0.3701167229533894,0.60601676068909,0,0.0
anneal_label_end50,annealed_conflict_wide64,weak_token_router,bidirectional_lookup,64,0.05,0.0,0.0,5,"{""0"": 3, ""1"": 2}","{""0"": 3, ""1"": 2}",0.0019860192958731206,0.003019701305311173,0.0009523372340481728,0.99921875,0.9998046875,1.0,0.0,0.06700068581493199,0.0,0.005105490982532501,0.6896515429019928,0.6895053923130036,0.68940449655056,0.5027879506349564,0.4972121000289917,0.046554020047187804,0.5042452350258827,0.495754773914814,0.49913973808288575,0.500860258936882,0.26064371505053713,0.21544749663444235,0.20917458579060622,0.21542179443058557,50,0.03125
anneal_label_end100,annealed_conflict_wide64,weak_token_router,bidirectional_lookup,64,0.05,0.0,0.0,5,"{""0"": 3, ""1"": 2}","{""0"": 3, ""1"": 2}",0.0011044598621083423,0.001551742316223681,0.0006571774050826207,0.999609375,0.999951171875,1.0,0.0,0.039477704632678676,0.4,0.013542795181274414,0.6902158081531524,0.6898726344108581,0.6898758292198182,0.49674820303916933,0.5032518416643142,0.028107646107673644,0.5051672220230102,0.49483278691768645,0.4916244253516197,0.5083755806088448,0.21750182749237865,0.17534577117767186,0.16253820949641523,0.15723009252396877,100,0.0625
anneal_label_end200,annealed_conflict_wide64,weak_token_router,bidirectional_lookup,64,0.05,0.0,0.0,5,"{""0"": 3, ""1"": 2}","{""0"": 3, ""1"": 2}",0.000678856743616052,0.000895870741805993,0.00046184274106053635,0.999951171875,0.999951171875,1.0,0.0,0.055978641764128076,0.4,0.014904005825519562,0.6907406687736511,0.6900578528642655,0.6901382386684418,0.4951642870903015,0.5048357546329498,0.030667144060134887,0.5021335810422898,0.49786642491817473,0.4872295707464218,0.5127704262733459,0.21180763925949578,0.1935763311717892,0.16467893359513255,0.19005183515400859,200,0.125
anneal_label_end400,annealed_conflict_wide64,weak_token_router,bidirectional_lookup,64,0.05,0.0,0.0,5,"{""0"": 3, ""1"": 2}","{""0"": 3, ""1"": 2}",0.0032037011129432357,0.0027803155709989367,0.003627086660708301,0.999462890625,0.99921875,1.0,0.0,0.09450648964688892,0.6,0.03952812477946281,0.6903978526592255,0.6881000697612762,0.68872951567173,0.4855296865105629,0.5144703522324562,0.03832702338695526,0.510724139213562,0.48927587270736694,0.47119601517915727,0.5288039982318878,0.2256239590118639,0.19746399604482576,0.16907832674041856,0.2157880192185985,400,0.25
anneal_label_end800,annealed_conflict_wide64,weak_token_router,bidirectional_lookup,64,0.05,0.0,0.0,5,"{""0"": 4, ""1"": 1}","{""1"": 5}",0.005805457041424234,0.006979877280537039,0.004631036620412488,0.9982421875,0.99892578125,0.2,0.8,0.33366133903356215,1.0,0.14876885041594506,0.6792823612689972,0.6722189843654632,0.6779861778020859,0.46947567015886305,0.5305243790149688,0.061048708856105804,0.5674240678548813,0.4325759381055832,0.4186552181839943,0.5813447892665863,0.3086883241659962,0.16526061281329021,0.12832903255912242,0.27799070914479673,800,0.5
anneal_label_end1200,annealed_conflict_wide64,weak_token_router,bidirectional_lookup,64,0.05,0.0,0.0,5,"{""0"": 5}","{""1"": 5}",0.000806498434394598,0.0009835884688072839,0.0006294084087130614,0.99990234375,0.999951171875,0.0,1.0,0.7652299159735441,1.0,0.38308991566300393,0.6213057518005372,0.5982517540454865,0.6408186078071594,0.4485238745808601,0.5514761686325074,0.10295229405164719,0.6770548313856125,0.3229451715946198,0.2939649149775505,0.7060350865125656,0.29518990733049577,0.04766112186334794,0.03365608515887288,0.41909469539968996,1200,0.75
always_label_0.05,conflict_reference,weak_token_router,bidirectional_lookup,64,0.05,0.0,0.0,5,"{""0"": 5}","{""1"": 5}",0.004274030955275521,0.005199374066432938,0.00334868777426891,0.9986328125,0.999658203125,0.0,1.0,0.9772936371444562,1.0,0.7497467497363687,0.4058150827884674,0.3290635958313942,0.5093245789408684,0.3937668189406395,0.6062332361936569,0.21246641725301743,0.8549167722463608,0.14508325159549712,0.10517001561820508,0.8948299944400787,1.4529382513894233,0.027259538049111142,0.006225307617569342,2.7638061011966784,1600,1.0
oracle_route,conflict_reference,oracle_route,bidirectional_lookup,64,nan,nan,nan,5,"{""0"": 5}","{""1"": 5}",0.0033024274278432133,0.0032922956423135476,0.0033125592570286246,0.999365234375,0.999462890625,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.47568926215171814,0.5,0.5,0.0,1.0,0.0,0.0,1.0,6.009568360142294,0.0,0.0,6.021806483139517,,
