model_size,seed,revision,revision_index,layer,head,repeat_score,specialization,selected_for_ablation,layer_rank
14m,1,step0,0,0,0,0.021041375352069736,0.24600343786819473,False,4
14m,1,step0,0,0,1,0.021617404418066144,0.25273803236005066,True,1
14m,1,step0,0,0,2,0.021302952663972974,0.24906164660787145,False,3
14m,1,step0,0,0,3,0.021571118384599686,0.25219688316388317,False,2
14m,1,step0,0,1,0,0.021914255572482944,0.2559911839672061,True,1
14m,1,step0,0,1,1,0.02037012274377048,0.23795340989282318,False,4
14m,1,step0,0,1,2,0.021505001466721296,0.25121048572578764,False,3
14m,1,step0,0,1,3,0.02181612909771502,0.2548449204141831,False,2
14m,1,step64,1,0,0,0.02104827482253313,0.2460205648968728,False,4
14m,1,step64,1,0,1,0.021629954921081662,0.2528194720586596,True,1
14m,1,step64,1,0,2,0.02133263787254691,0.24934431274747065,False,3
14m,1,step64,1,0,3,0.021544073009863496,0.25181565029699693,False,2
14m,1,step64,1,1,0,0.022108812117949128,0.2576416150364383,True,1
14m,1,step64,1,1,1,0.020730372983962297,0.2415781882537089,False,4
14m,1,step64,1,1,2,0.02121365605853498,0.24721005265186868,False,3
14m,1,step64,1,1,3,0.021759429946541786,0.25357014405798417,False,2
14m,1,step256,2,0,0,0.02131364936940372,0.24736594103176493,False,4
14m,1,step256,2,0,1,0.021831074031069875,0.2533711650141876,True,1
14m,1,step256,2,0,2,0.021392349852249026,0.24827933782558806,False,3
14m,1,step256,2,0,3,0.021625351859256625,0.2509835561284594,False,2
14m,1,step256,2,1,0,0.023510377388447523,0.28227004967382846,True,1
14m,1,step256,2,1,1,0.019211213337257504,0.2306534707378543,False,4
14m,1,step256,2,1,2,0.020141622750088573,0.24182414260064933,False,3
14m,1,step256,2,1,3,0.020427158335223794,0.2452523369876679,False,2
14m,1,step1000,3,0,0,0.022941519506275654,0.2520450490740154,False,2
14m,1,step1000,3,0,1,0.022005156613886356,0.24175777794976458,False,3
14m,1,step1000,3,0,2,0.024148880038410425,0.2653096126740287,True,1
14m,1,step1000,3,0,3,0.021925948094576597,0.24088756030219127,False,4
14m,1,step1000,3,1,0,0.0134543381864205,0.22580278404059143,False,3
14m,1,step1000,3,1,1,0.016739291488192976,0.2809338198972796,False,2
14m,1,step1000,3,1,2,0.018096303334459662,0.3037084111567998,True,1
14m,1,step1000,3,1,3,0.011294532450847328,0.1895549849053291,False,4
14m,1,step4000,4,0,0,0.03786194883286953,0.24886008310352362,False,2
14m,1,step4000,4,0,1,0.03681988036260009,0.24201074612788226,False,3
14m,1,step4000,4,0,2,0.03448537737131119,0.226666459150419,False,4
14m,1,step4000,4,0,3,0.04297430347651243,0.2824627116181751,True,1
14m,1,step4000,4,1,0,0.008610333199612796,0.12434599224222224,False,3
14m,1,step4000,4,1,1,0.02062454610131681,0.2978490599677401,False,2
14m,1,step4000,4,1,2,0.03816800517961383,0.5512026498787279,True,1
14m,1,step4000,4,1,3,0.0018420750420773402,0.026602297911309712,False,4
14m,1,step16000,5,0,0,0.04308979446068406,0.23430875326115488,False,4
14m,1,step16000,5,0,1,0.04506432730704546,0.24504564201392603,False,3
14m,1,step16000,5,0,2,0.049629874993115664,0.2698716547546811,True,1
14m,1,step16000,5,0,3,0.04611777327954769,0.250773949970238,False,2
14m,1,step16000,5,1,0,0.007045313133858144,0.009215060774344426,False,3
14m,1,step16000,5,1,1,0.02216674597002566,0.028993446764144025,False,2
14m,1,step16000,5,1,2,0.735278770327568,0.9617228398396694,True,1
14m,1,step16000,5,1,3,5.248790324685615e-05,6.865262184206393e-05,False,4
14m,1,step64000,6,0,0,0.028083977289497852,0.18982618212625246,False,4
14m,1,step64000,6,0,1,0.040343078784644604,0.27268832124328457,False,2
14m,1,step64000,6,0,2,0.03437933954410255,0.23237801050777632,False,3
14m,1,step64000,6,0,3,0.04513935651630163,0.3051074861226867,True,1
14m,1,step64000,6,1,0,0.010526622412726283,0.013701515096695299,False,3
14m,1,step64000,6,1,1,0.02541606454178691,0.03308170259786922,False,2
14m,1,step64000,6,1,2,0.7323365435004234,0.9532136532703822,True,1
14m,1,step64000,6,1,3,2.4039801649333725e-06,3.1290350532730873e-06,False,4
14m,1,step143000,7,0,0,0.027139740763232112,0.19810328100741006,False,4
14m,1,step143000,7,0,1,0.039011611603200436,0.28476057761210455,True,1
14m,1,step143000,7,0,2,0.031959929736331105,0.23328767200720565,False,3
14m,1,step143000,7,0,3,0.038886654656380415,0.28384846937327973,False,2
14m,1,step143000,7,1,0,0.0067656273022294044,0.008256321476792866,False,3
14m,1,step143000,7,1,1,0.03217910113744438,0.03926923431585195,False,2
14m,1,step143000,7,1,2,0.7805032879114151,0.9524742896445112,True,1
14m,1,step143000,7,1,3,1.2665623549900124e-07,1.5456284400643173e-07,False,4
14m,2,step0,0,0,0,0.021925504552200437,0.2547782305995545,True,1
14m,2,step0,0,0,1,0.02179018734022975,0.2532058207262275,False,2
14m,2,step0,0,0,2,0.021406629821285605,0.24874881469578078,False,3
14m,2,step0,0,0,3,0.0209348916541785,0.24326713397843724,False,4
14m,2,step0,0,1,0,0.020079274429008365,0.23281528840162388,False,4
14m,2,step0,0,1,1,0.022153389640152454,0.2568642515635141,False,2
14m,2,step0,0,1,2,0.02266223612241447,0.26276422772743535,True,1
14m,2,step0,0,1,3,0.021350614726543427,0.24755623230742663,False,3
14m,2,step64,1,0,0,0.021869263844564557,0.2545957720318989,True,1
14m,2,step64,1,0,1,0.021729803178459406,0.2529722104795996,False,2
14m,2,step64,1,0,2,0.02139022690244019,0.24901895970850352,False,3
14m,2,step64,1,0,3,0.02090869122184813,0.24341305777999794,False,4
14m,2,step64,1,1,0,0.019890566589310765,0.23083446369833024,False,4
14m,2,step64,1,1,1,0.022359052672982216,0.25948179552332257,False,2
14m,2,step64,1,1,2,0.02286966796964407,0.26540759998102187,True,1
14m,2,step64,1,1,3,0.021048810333013535,0.24427614079732532,False,3
14m,2,step256,2,0,0,0.0217625938821584,0.25283794816897787,False,2
14m,2,step256,2,0,1,0.021320401690900326,0.24770055659978196,False,3
14m,2,step256,2,0,2,0.021909927017986774,0.2545496654376941,True,1
14m,2,step256,2,0,3,0.021080366801470518,0.2449118297935461,False,4
14m,2,step256,2,1,0,0.01918880781158805,0.2364820888665989,False,4
14m,2,step256,2,1,1,0.02039850619621575,0.2513903626741333,False,2
14m,2,step256,2,1,2,0.021655037766322494,0.2668758067592121,True,1
14m,2,step256,2,1,3,0.01990040158852935,0.2452517417000557,False,3
14m,2,step1000,3,0,0,0.023496569832786918,0.25937277377611667,True,1
14m,2,step1000,3,0,1,0.021996256429702044,0.24281118833360646,False,4
14m,2,step1000,3,0,2,0.022969866637140512,0.2535586285717846,False,2
14m,2,step1000,3,0,3,0.022127269534394145,0.24425740931849227,False,3
14m,2,step1000,3,1,0,0.016656055580824614,0.2643960554948204,False,3
14m,2,step1000,3,1,1,0.016827330458909273,0.26711485058716355,False,2
14m,2,step1000,3,1,2,0.011743598617613316,0.18641635390470193,False,4
14m,2,step1000,3,1,3,0.017769626807421446,0.28207274001331406,True,1
14m,2,step4000,4,0,0,0.03721824008971453,0.2554162382110037,False,2
14m,2,step4000,4,0,1,0.042890071868896484,0.2943401081552096,True,1
14m,2,step4000,4,0,2,0.03297368925996125,0.2262873163915493,False,3
14m,2,step4000,4,0,3,0.03263402823358774,0.2239563372422374,False,4
14m,2,step4000,4,1,0,0.01652091054711491,0.21167881979200115,False,3
14m,2,step4000,4,1,1,0.028572666691616178,0.36609533998401517,True,1
14m,2,step4000,4,1,2,0.008252190658822656,0.10573351719183584,False,4
14m,2,step4000,4,1,3,0.02470129681751132,0.31649232303214786,False,2
14m,2,step16000,5,0,0,0.0486639398150146,0.2535880886436625,False,2
14m,2,step16000,5,0,1,0.07868227921426296,0.4100138392394552,True,1
14m,2,step16000,5,0,2,0.038575015030801296,0.20101463975679376,False,3
14m,2,step16000,5,0,3,0.025980286533012986,0.13538343236008854,False,4
14m,2,step16000,5,1,0,0.012221725541166961,0.0166639791218291,False,3
14m,2,step16000,5,1,1,0.6846188455820084,0.9334585456662137,True,1
14m,2,step16000,5,1,2,0.00260479751159437,0.0035515681647074887,False,4
14m,2,step16000,5,1,3,0.03397643007338047,0.04632590704724974,False,2
14m,2,step64000,6,0,0,0.027142630191519856,0.21555667794801883,False,3
14m,2,step64000,6,0,1,0.036482568364590406,0.28973099453492,False,2
14m,2,step64000,6,0,2,0.049317526165395975,0.39166145763385146,True,1
14m,2,step64000,6,0,3,0.012976038036867976,0.10305086988320973,False,4
14m,2,step64000,6,1,0,0.00424284499604255,0.004479668799761578,False,3
14m,2,step64000,6,1,1,0.9099563211202621,0.9607475513883671,True,1
14m,2,step64000,6,1,2,0.0005813387239186341,0.0006137874341533919,False,4
14m,2,step64000,6,1,3,0.032353130634874105,0.03415899237771791,False,2
14m,2,step143000,7,0,0,0.02096448536030948,0.20193084402520356,False,3
14m,2,step143000,7,0,1,0.023637156235054135,0.22767412730944442,False,2
14m,2,step143000,7,0,2,0.050762278493493795,0.4889444965932768,True,1
14m,2,step143000,7,0,3,0.008456204377580434,0.08145053207207519,False,4
14m,2,step143000,7,1,0,0.002756299072643742,0.003009383008754509,False,3
14m,2,step143000,7,1,1,0.8808371648192406,0.9617158107389228,True,1
14m,2,step143000,7,1,2,0.00018440760754856456,0.0002013399512228653,False,4
14m,2,step143000,7,1,3,0.03212384809739888,0.035073466301099844,False,2
14m,3,step0,0,0,0,0.02158658648841083,0.2560959597278349,False,2
14m,3,step0,0,0,1,0.02119099348783493,0.25140277819130574,False,3
14m,3,step0,0,0,2,0.02170591102913022,0.25751158571349136,True,1
14m,3,step0,0,0,3,0.01980751659721136,0.23498967636736806,False,4
14m,3,step0,0,1,0,0.020858465926721692,0.24276240770281057,False,3
14m,3,step0,0,1,1,0.021115428069606423,0.24575307579481323,False,2
14m,3,step0,0,1,2,0.02072524861432612,0.2412119506548924,False,4
14m,3,step0,0,1,3,0.02322217496111989,0.2702725658474838,True,1
14m,3,step64,1,0,0,0.021547118900343776,0.25570409182737397,False,2
14m,3,step64,1,0,1,0.021106050349771976,0.25046984061823535,False,3
14m,3,step64,1,0,2,0.021791633684188128,0.2586057990593459,True,1
14m,3,step64,1,0,3,0.019821032416075468,0.2352202684950448,False,4
14m,3,step64,1,1,0,0.020727526862174273,0.24016545422216978,False,3
14m,3,step64,1,1,1,0.021522291004657745,0.24937421764813186,False,2
14m,3,step64,1,1,2,0.020693927071988583,0.23977614058502567,False,4
14m,3,step64,1,1,3,0.023361452156677842,0.2706841875446727,True,1
14m,3,step256,2,0,0,0.02151521760970354,0.25315482923985366,False,2
14m,3,step256,2,0,1,0.021394178504124284,0.251730644987567,False,3
14m,3,step256,2,0,2,0.022182360058650374,0.2610046374921124,True,1
14m,3,step256,2,0,3,0.019896619021892548,0.234109888280467,False,4
14m,3,step256,2,1,0,0.019061771454289556,0.2363673686186682,False,3
14m,3,step256,2,1,1,0.0188191756606102,0.2333591629265869,False,4
14m,3,step256,2,1,2,0.020233900053426623,0.25090184949444055,False,2
14m,3,step256,2,1,3,0.022529835579916835,0.2793716189603044,True,1
14m,3,step1000,3,0,0,0.023690228583291173,0.2589503884925531,False,2
14m,3,step1000,3,0,1,0.023971281247213483,0.2620224861826902,True,1
14m,3,step1000,3,0,2,0.02343411510810256,0.25615089317890105,False,3
14m,3,step1000,3,0,3,0.0203899631742388,0.22287623214585564,False,4
14m,3,step1000,3,1,0,0.01070224738214165,0.18610649827563688,False,4
14m,3,step1000,3,1,1,0.01315551542211324,0.22876754954347656,False,3
14m,3,step1000,3,1,2,0.0175458041485399,0.3051123799440207,True,1
14m,3,step1000,3,1,3,0.016102471156045794,0.28001357223686585,False,2
14m,3,step4000,4,0,0,0.04335866356268525,0.2875867748622196,True,1
14m,3,step4000,4,0,1,0.0366775868460536,0.24327292504151796,False,2
14m,3,step4000,4,0,2,0.03435190627351403,0.2278472887266575,False,4
14m,3,step4000,4,0,3,0.03637908073142171,0.24129301136960493,False,3
14m,3,step4000,4,1,0,0.007677533256355673,0.10352701062010201,False,3
14m,3,step4000,4,1,1,0.02920786920003593,0.39385090026923464,False,2
14m,3,step4000,4,1,2,0.031385918613523245,0.42322061280998385,True,1
14m,3,step4000,4,1,3,0.005888390587642789,0.07940147630067951,False,4
14m,3,step16000,5,0,0,0.04900279501453042,0.2957478296757742,True,1
14m,3,step16000,5,0,1,0.04054348962381482,0.2446931661789906,False,3
14m,3,step16000,5,0,2,0.03003787179477513,0.18128834056811863,False,4
14m,3,step16000,5,0,3,0.046106983441859484,0.27827066357711655,False,2
14m,3,step16000,5,1,0,0.005221224331762642,0.06926387726041981,False,3
14m,3,step16000,5,1,1,0.0344666438177228,0.45722865659047995,False,2
14m,3,step16000,5,1,2,0.03532359329983592,0.4685968032120264,True,1
14m,3,step16000,5,1,3,0.00037017380236648023,0.004910662937073812,False,4
14m,3,step64000,6,0,0,0.05800119927152991,0.34051891394647754,False,2
14m,3,step64000,6,0,1,0.02977143879979849,0.17478497227741888,False,3
14m,3,step64000,6,0,2,0.02449024631641805,0.14377964908808044,False,4
14m,3,step64000,6,0,3,0.05806891480460763,0.34091646468802317,True,1
14m,3,step64000,6,1,0,0.0015656609284633305,0.022571150539408655,False,3
14m,3,step64000,6,1,1,0.04030040744692087,0.5809856698517345,True,1
14m,3,step64000,6,1,2,0.027488844003528357,0.3962894039687925,False,2
14m,3,step64000,6,1,3,1.0666736326880866e-05,0.0001537756400643588,False,4
14m,3,step143000,7,0,0,0.051899383310228586,0.33265906341965323,False,2
14m,3,step143000,7,0,1,0.02499288972467184,0.16019672600466958,False,3
14m,3,step143000,7,0,2,0.021714018657803535,0.13918017226917961,False,4
14m,3,step143000,7,0,3,0.05740744434297085,0.3679640383064976,True,1
14m,3,step143000,7,1,0,0.0010522251941438299,0.013260901692482624,False,3
14m,3,step143000,7,1,1,0.05297839781269431,0.6676720241345453,True,1
14m,3,step143000,7,1,2,0.02531576552428305,0.3190475572680213,False,2
14m,3,step143000,7,1,3,1.5486261475405882e-06,1.9516904950801548e-05,False,4
