config,family,accuracy_mean,specialization_mean,effective_heads_mean,top_dim_mass_mean,within_family_similarity_mean
uniform4,copy_transport,0.99951171875,0.5574040318835453,3.5090764163676456,1.0,0.28275844431683295
uniform4,entity_coreference,1.0,0.7139432599710949,2.497604166818918,1.0,0.5383783680573253
uniform4,induction,0.9998901404440403,0.8295860216095985,1.749685867210934,1.0,0.8235838373836168
uniform4,position_boundary,1.0,0.8872238654453712,1.5384256468219704,1.0,0.6597303791524141
uniform4,suppression_conflict,1.0,0.67695432711744,2.7048207142917375,1.0,0.4135301917229527
uniform2,copy_transport,0.9984375,0.6706846530381153,2.106005899839251,1.0,0.3373900410147879
uniform2,entity_coreference,0.9982421875,0.6127259746022883,2.392756648782644,1.0,0.5460463321738441
uniform2,induction,0.9982248835265637,0.7288119270133759,2.2669615882312253,1.0,0.8167230362234715
uniform2,position_boundary,1.0,0.7966131928610445,1.8181882242269967,1.0,0.6014942865964694
uniform2,suppression_conflict,0.99921875,0.6116621710757781,2.244573340460247,1.0,0.49333515385971516
hetero4_unique_mild,copy_transport,0.99970703125,0.6622647126520411,2.4565496270441702,0.7120717788210433,0.2945466426635258
hetero4_unique_mild,entity_coreference,1.0,0.652974927741661,2.482360480939722,0.7005216691780705,0.46700169122118174
hetero4_unique_mild,induction,0.9999789156019687,0.8103240147000401,2.0162986621847736,0.8318440434638555,0.7343799639421389
hetero4_unique_mild,position_boundary,1.0,0.7674976762013213,2.022001349737555,0.7980900660960397,0.5478826023250152
hetero4_unique_mild,suppression_conflict,1.0,0.7354497351274956,2.053851892811363,0.7504737215472097,0.4259364581236933
hetero4_unique_64,copy_transport,0.9998046875,0.7658425404241582,1.9290697079763173,0.8482037262532958,0.2975864494330604
hetero4_unique_64,entity_coreference,1.0,0.8296634066653394,1.661950242450407,0.8549576834533177,0.5941865801478409
hetero4_unique_64,induction,0.9998617321252823,0.7173595217600572,2.2176520555086396,0.7740046044636549,0.6647401610960652
hetero4_unique_64,position_boundary,1.0,0.7668788285520144,1.897594861292498,0.7937245739191905,0.6010628131381621
hetero4_unique_64,suppression_conflict,1.0,0.8005704133819738,1.8259980480875577,0.8365457124291431,0.465268590150424
hetero4_unique_extreme,copy_transport,0.9998046875,0.8119543863922709,1.5515377061808184,0.939611114857921,0.44733618750354565
hetero4_unique_extreme,entity_coreference,1.0,0.9563501552365905,1.128154278654272,0.9572516592987638,0.9278173237406289
hetero4_unique_extreme,induction,0.999964489787817,0.6616645742325538,2.2500560964826106,0.8269624985031833,0.7513466894287198
hetero4_unique_extreme,position_boundary,1.0,0.867818457556489,1.4295117264032737,0.8778208034664967,0.7001713768513167
hetero4_unique_extreme,suppression_conflict,1.0,0.944956699787955,1.2498389444863007,0.9569563101070402,0.7788048683754492
hetero2_unique_mild,copy_transport,0.99970703125,0.8268873798689291,1.6356586833739697,0.9299316821211345,0.42522466022030736
hetero2_unique_mild,entity_coreference,1.0,0.8437865265549146,1.5951287991196776,0.9109233893173533,0.6274249815036819
hetero2_unique_mild,induction,0.9999378576874733,0.6659869970242497,2.330522676112314,0.7353725411721037,0.7866640544639771
hetero2_unique_mild,position_boundary,1.0,0.8175018942991693,1.610886661555463,0.8263402287453285,0.7852727617274134
hetero2_unique_mild,suppression_conflict,1.0,0.7554605923610311,1.8385455161704036,0.7905300290499998,0.5690201653071926
hetero2_unique_mid,copy_transport,0.999609375,0.8184166401489883,1.477548346211866,0.9643828758158172,0.5606323840878261
hetero2_unique_mid,entity_coreference,1.0,0.8839256347792841,1.3814523370369451,0.9277759080970396,0.8004067041445252
hetero2_unique_mid,induction,0.9987102739512921,0.5776294296418435,2.4055060348101107,0.7671320694670961,0.7764786957656076
hetero2_unique_mid,position_boundary,1.0,0.7645216106614905,1.7110285903771327,0.8047884732127505,0.5663727131093428
hetero2_unique_mid,suppression_conflict,0.99990234375,0.8370146915137578,1.4826800105074673,0.8919415127271939,0.7541989004495169
hetero2_unique_extreme,copy_transport,0.99931640625,0.8308626514970955,1.4308982892747686,0.9959974938166379,0.5849865433588907
hetero2_unique_extreme,entity_coreference,1.0,0.8399686661904806,1.4389913551322695,0.94553250846597,0.7180972503225758
hetero2_unique_extreme,induction,0.9999345280230045,0.5949715340692928,2.2235085096891436,0.9082530802409489,0.8078435557476992
hetero2_unique_extreme,position_boundary,1.0,0.775034578318673,1.6420009186573599,0.8882574849714316,0.6892250667637168
hetero2_unique_extreme,suppression_conflict,1.0,0.8586380928591592,1.4450939115671233,0.9466474113887043,0.8037056945528199
