config,seed,head_dims_json,eval_loss_mean,role_accuracy_mean,role_accuracy_min,role_specialization_mean,role_effective_heads_mean,role_top_dim_mass_mean,within_family_similarity_mean,between_family_similarity_mean,family_gap,family_cluster_ari
uniform2,1,"[64, 64]",0.008900873363018036,0.9979166785875956,0.9933594167232513,0.7182098201090178,1.9867838891008134,1.0,0.9294698427360976,0.1843506208488943,0.7451192218872033,1.0
uniform2,2,"[64, 64]",0.0018603243515826762,0.9996093834439913,0.998046875,0.6150785958269144,2.279931184681456,1.0,0.9428110320114781,0.2819072902299807,0.6609037417814974,1.0
uniform2,3,"[64, 64]",0.0024506170593667775,0.999804695447286,0.9988281726837158,0.5905385606996293,2.3578341295967533,1.0,0.9215252344809363,0.2874345605041733,0.6340906739767629,1.0
uniform2,4,"[64, 64]",0.0011224649788346142,0.9999132032195727,0.9994792193174362,0.7172304398949639,1.977660621812122,1.0,0.9304196523125627,0.1806855864702934,0.7497340658422693,1.0
uniform2,5,"[64, 64]",0.0025272877828683704,0.9993272597591082,0.99609375,0.5398522509909117,2.6472667200146063,1.0,0.8920144503769545,0.4192380220020153,0.47277642837493916,1.0
"32,96",1,"[32, 96]",0.005126326635945588,0.9989583442608515,0.9957031905651093,0.6527340898625053,1.984761743799637,0.9189466507556613,0.939803262240955,0.5230671051183681,0.41673615712258694,0.4444444444444444
"32,96",2,"[32, 96]",0.001535013027023524,0.9998667016625404,0.9994792193174362,0.7271241173802534,1.705828286945735,0.8875975417170127,0.9685900593899178,0.37359522364855474,0.594994835741363,1.0
"32,96",3,"[32, 96]",0.003406408301088959,0.9991939589381218,0.998046875,0.7159807032568919,1.8261336258697412,0.9611361091783913,0.9119797307460419,0.5172486142584748,0.3947311164875671,1.0
"32,96",4,"[32, 96]",0.0038135985378175974,0.9993427669008573,0.998046875,0.6891123675639207,1.8918096226824475,0.8660927893318741,0.912145573287472,0.421163062058159,0.490982511229313,1.0
"32,96",5,"[32, 96]",0.002094364637741819,0.9995876774191856,0.998046875,0.6919263376050409,1.8718262148605105,0.8534083492614971,0.927659216041382,0.4238744771341962,0.5037847389071859,1.0
"48,80",1,"[48, 80]",0.0063045778661035,0.9983941043416659,0.994140625,0.8022117045527977,1.847986271011565,0.9313520361615697,0.9359503736825224,0.4760221064176171,0.4599282672649053,1.0
"48,80",2,"[48, 80]",0.0028363136225380003,0.9993675674001375,0.998046875,0.7785258277134665,1.7941354871920498,0.8981257529545635,0.936619043725948,0.2531550219921463,0.6834640217338017,1.0
"48,80",3,"[48, 80]",0.0017023352265823632,0.9999101012945175,0.9997209906578064,0.6616813844213296,2.1846730489207213,0.8264667239145016,0.8974633893097438,0.4618769662529096,0.4355864230568342,1.0
"48,80",4,"[48, 80]",0.0013357586576603353,0.9999566028515497,0.9997396171092987,0.8046128143676685,1.702819995031729,0.9053572174110117,0.9641695563114155,0.2088602251417149,0.7553093311697007,1.0
"48,80",5,"[48, 80]",0.004864218441070989,0.9994791696468989,0.998046875,0.7353770407627427,2.011938926061262,0.8551044224456223,0.9616094869006956,0.29086329130784555,0.67074619559285,1.0
"16,112",1,"[16, 112]",0.003669390978757292,0.9994543765981992,0.998046875,0.6996593958360457,1.7356030779734064,0.9898654028815147,0.9212664535560884,0.6416034731487318,0.2796629804073566,0.4444444444444444
"16,112",2,"[16, 112]",0.0022312504006549716,0.9996310820182165,0.998046875,0.720085076778504,1.7012220105788558,0.992695772131179,0.9631755076722216,0.5835469855884112,0.37962852208381037,1.0
"16,112",3,"[16, 112]",0.007227861206047237,0.9983041981856028,0.9921875,0.7022634603607635,1.6987306294033413,0.9951582204097944,0.9664386303245752,0.6201273376583614,0.34631129266621385,1.0
"16,112",4,"[16, 112]",0.004801388393389061,0.9995225792129835,0.998046875,0.706337722805357,1.8278085805674857,0.920075356161785,0.8843310403530085,0.6033113339586755,0.28101970639433294,0.4444444444444444
"16,112",5,"[16, 112]",0.0021798374655190855,0.999804695447286,0.9988281726837158,0.6798508962779278,1.8509336709693507,0.9605863727756804,0.9339080505761018,0.5879879826447921,0.3459200679313097,0.4444444444444444
